iShares Core S&P Mid-Cap ETF
Fund Holdings as of,"Aug 22, 2025"
Inception Date,"May 22, 2000"
Shares Outstanding,"1,534,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Type,Sector,Asset Class,Market Value,Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,Notional Weight,Market Weight
"AYI","ACUITY INC","EQUITY","Industrials","Equity","325,148,023.20","325,148,023.20","995,280.00","326.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.32","0.33"
"SSB","SOUTHSTATE CORP","EQUITY","Financials","Equity","321,504,471.16","321,504,471.16","3,201,598.00","100.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.32","0.32"
"NXT","NEXTRACKER INC CLASS A","EQUITY","Industrials","Equity","321,399,895.96","321,399,895.96","4,673,548.00","68.77","United States","NASDAQ","USD","1.00","USD","-","0.32","0.32"
"WCC","WESCO INTERNATIONAL INC","EQUITY","Industrials","Equity","320,928,570.60","320,928,570.60","1,444,323.00","222.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.32","0.32"
"ENSG","ENSIGN GROUP INC","EQUITY","Health Care","Equity","320,042,604.60","320,042,604.60","1,855,965.00","172.44","United States","NASDAQ","USD","1.00","USD","-","0.32","0.32"
"TTEK","TETRA TECH INC","EQUITY","Industrials","Equity","315,522,988.34","315,522,988.34","8,569,337.00","36.82","United States","NASDAQ","USD","1.00","USD","-","0.31","0.32"
"NYT","NEW YORK TIMES CLASS A","EQUITY","Communication","Equity","315,512,726.85","315,512,726.85","5,277,015.00","59.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.31","0.32"
"CELH","CELSIUS HOLDINGS INC","EQUITY","Consumer Staples","Equity","314,553,174.96","314,553,174.96","5,113,023.00","61.52","United States","NASDAQ","USD","1.00","USD","-","0.31","0.31"
"AFG","AMERICAN FINANCIAL GROUP INC","EQUITY","Financials","Equity","314,424,057.15","314,424,057.15","2,335,815.00","134.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.31","0.31"
"REXR","REXFORD INDUSTRIAL REALTY REIT INC","EQUITY","Real Estate","Equity","310,389,585.78","310,389,585.78","7,679,109.00","40.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.31","0.31"
"WAL","WESTERN ALLIANCE","EQUITY","Financials","Equity","308,883,691.70","308,883,691.70","3,545,090.00","87.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.31","0.31"
"CR","CRANE","EQUITY","Industrials","Equity","308,729,750.38","308,729,750.38","1,589,506.00","194.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.31","0.31"
"FND","FLOOR DECOR HOLDINGS INC CLASS A","EQUITY","Consumer Discretionary","Equity","308,032,943.58","308,032,943.58","3,499,579.00","88.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.31","0.31"
"CUBE","CUBESMART REIT","EQUITY","Real Estate","Equity","304,620,057.56","304,620,057.56","7,413,484.00","41.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.30","0.30"
"ATR","APTARGROUP INC","EQUITY","Materials","Equity","303,756,989.65","303,756,989.65","2,147,755.00","141.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.30","0.30"
"GME","GAMESTOP CORP CLASS A","EQUITY","Consumer Discretionary","Equity","302,756,736.66","302,756,736.66","13,226,594.00","22.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.30","0.30"
"WING","WINGSTOP INC","EQUITY","Consumer Discretionary","Equity","301,460,764.05","301,460,764.05","907,495.00","332.19","United States","NASDAQ","USD","1.00","USD","-","0.30","0.30"
"OGE","OGE ENERGY CORP","EQUITY","Utilities","Equity","298,246,277.40","298,246,277.40","6,547,668.00","45.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.30","0.30"
"OSK","OSHKOSH CORP","EQUITY","Industrials","Equity","297,556,403.63","297,556,403.63","2,093,551.00","142.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.30","0.30"
"CMA","COMERICA INC","EQUITY","Financials","Equity","297,375,665.86","297,375,665.86","4,273,867.00","69.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.30","0.30"
"ORI","OLD REPUBLIC INTERNATIONAL CORP","EQUITY","Financials","Equity","295,298,481.72","295,298,481.72","7,395,404.00","39.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.29","0.30"
"DCI","DONALDSON INC","EQUITY","Industrials","Equity","294,327,956.04","294,327,956.04","3,887,057.00","75.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.29","0.29"
"DOCS","DOXIMITY INC CLASS A","EQUITY","Health Care","Equity","294,129,518.64","294,129,518.64","4,342,036.00","67.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.29","0.29"
"AVTR","AVANTOR INC","EQUITY","Health Care","Equity","294,088,107.79","294,088,107.79","22,161,877.00","13.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.29","0.29"
"PLNT","PLANET FITNESS INC CLASS A","EQUITY","Consumer Discretionary","Equity","293,270,183.20","293,270,183.20","2,727,080.00","107.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.29","0.29"
"AR","ANTERO RESOURCES CORP","EQUITY","Energy","Equity","292,869,076.25","292,869,076.25","9,493,325.00","30.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.29","0.29"
"WTFC","WINTRUST FINANCIAL CORP","EQUITY","Financials","Equity","291,740,632.88","291,740,632.88","2,176,844.00","134.02","United States","NASDAQ","USD","1.00","USD","-","0.29","0.29"
"AAL","AMERICAN AIRLINES GROUP INC","EQUITY","Industrials","Equity","290,638,977.05","290,638,977.05","21,449,371.00","13.55","United States","NASDAQ","USD","1.00","USD","-","0.29","0.29"
"EGP","EASTGROUP PROPERTIES REIT INC","EQUITY","Real Estate","Equity","289,089,030.00","289,089,030.00","1,705,540.00","169.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.29","0.29"
"GTLS","CHART INDUSTRIES INC","EQUITY","Industrials","Equity","288,581,866.20","288,581,866.20","1,461,470.00","197.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.29","0.29"
"PRI","PRIMERICA INC","EQUITY","Financials","Equity","288,397,600.05","288,397,600.05","1,068,733.00","269.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.29","0.29"
"HALO","HALOZYME THERAPEUTICS INC","EQUITY","Health Care","Equity","287,824,754.70","287,824,754.70","4,007,585.00","71.82","United States","NASDAQ","USD","1.00","USD","-","0.29","0.29"
"ALV","AUTOLIV INC","EQUITY","Consumer Discretionary","Equity","287,334,151.54","287,334,151.54","2,313,107.00","124.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.29","0.29"
"LSCC","LATTICE SEMICONDUCTOR CORP","EQUITY","Information Technology","Equity","286,944,628.64","286,944,628.64","4,472,329.00","64.16","United States","NASDAQ","USD","1.00","USD","-","0.29","0.29"
"PR","PERMIAN RESOURCES CORP CLASS A","EQUITY","Energy","Equity","285,413,745.28","285,413,745.28","20,742,278.00","13.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.28","0.29"
