iShares S&P 500 Value ETF
Fund Holdings as of,"Aug 22, 2025"
Inception Date,"May 22, 2000"
Shares Outstanding,"201,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NOC","NORTHROP GRUMMAN CORP","Industrials","Equity","129,138,886.32","0.31","129,138,886.32","217,978.00","592.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","128,344,826.43","0.31","128,344,826.43","636,347.00","201.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEM","NEWMONT","Materials","Equity","126,710,288.04","0.31","126,710,288.04","1,790,452.00","70.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","123,386,781.50","0.30","123,386,781.50","759,350.00","162.49","United States","NASDAQ","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","121,006,143.48","0.29","121,006,143.48","2,506,341.00","48.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","115,043,133.40","0.28","115,043,133.40","363,428.00","316.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","113,718,553.64","0.28","113,718,553.64","1,060,214.00","107.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","112,957,754.58","0.27","112,957,754.58","227,742.00","495.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","112,365,609.42","0.27","112,365,609.42","717,441.00","156.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APD","AIR PRODUCTS AND CHEMICALS INC","Materials","Equity","107,152,393.00","0.26","107,152,393.00","358,010.00","299.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EOG","EOG RESOURCES INC","Energy","Equity","106,330,341.15","0.26","106,330,341.15","877,965.00","121.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","104,834,334.82","0.25","104,834,334.82","1,180,301.00","88.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NSC","NORFOLK SOUTHERN CORP","Industrials","Equity","103,215,597.40","0.25","103,215,597.40","362,669.00","284.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","102,509,815.04","0.25","102,509,815.04","260,032.00","394.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TRV","TRAVELERS COMPANIES INC","Financials","Equity","100,833,693.24","0.24","100,833,693.24","364,956.00","276.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","100,799,835.76","0.24","100,799,835.76","738,244.00","136.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","99,991,645.04","0.24","99,991,645.04","2,310,343.00","43.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","99,171,670.73","0.24","99,171,670.73","1,465,519.00","67.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","98,730,236.76","0.24","98,730,236.76","167,487.00","589.48","United States","NASDAQ","USD","1.00","USD","-"
"AEP","AMERICAN ELECTRIC POWER INC","Utilities","Equity","98,234,387.08","0.24","98,234,387.08","861,554.00","114.02","United States","NASDAQ","USD","1.00","USD","-"
"TEL","TE CONNECTIVITY PLC","Information Technology","Equity","97,961,915.00","0.24","97,961,915.00","477,863.00","205.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TFC","TRUIST FINANCIAL CORP","Financials","Equity","96,803,714.14","0.24","96,803,714.14","2,108,554.00","45.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMC","MARSH & MCLENNAN INC","Financials","Equity","93,709,488.50","0.23","93,709,488.50","445,070.00","210.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ROP","ROPER TECHNOLOGIES INC","Information Technology","Equity","92,852,383.24","0.23","92,852,383.24","172,961.00","536.84","United States","NASDAQ","USD","1.00","USD","-"
"BDX","BECTON DICKINSON","Health Care","Equity","92,158,663.48","0.22","92,158,663.48","461,578.00","199.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","90,950,926.60","0.22","90,950,926.60","360,988.00","251.95","United States","NASDAQ","USD","1.00","USD","-"
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","90,275,975.92","0.22","90,275,975.92","1,546,616.00","58.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALL","ALLSTATE CORP","Financials","Equity","87,674,420.96","0.21","87,674,420.96","426,598.00","205.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SRE","SEMPRA","Utilities","Equity","87,225,058.80","0.21","87,225,058.80","1,052,172.00","82.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SNPS","SYNOPSYS INC","Information Technology","Equity","86,854,270.52","0.21","86,854,270.52","143,201.00","606.52","United States","NASDAQ","USD","1.00","USD","-"
"KKR","KKR AND CO INC","Financials","Equity","86,687,818.36","0.21","86,687,818.36","611,468.00","141.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","86,473,591.80","0.21","86,473,591.80","280,804.00","307.95","United States","NASDAQ","USD","1.00","USD","-"
"SLB","SCHLUMBERGER NV","Energy","Equity","86,180,152.71","0.21","86,180,152.71","2,420,111.00","35.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
