iShares S&P 500 Growth ETF
Fund Holdings as of,"Aug 22, 2025"
Inception Date,"May 22, 2000"
Shares Outstanding,"549,150,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","60,410,831.85","0.10","60,410,831.85","60,410,832.00","1.00","United States","-","USD","1.00","USD","-"
"SYF","SYNCHRONY FINANCIAL","Financials","Equity","60,004,528.80","0.10","60,004,528.80","819,734.00","73.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IRM","IRON MOUNTAIN INC","Real Estate","Equity","59,537,744.50","0.09","59,537,744.50","634,325.00","93.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BRO","BROWN & BROWN INC","Financials","Equity","58,320,100.98","0.09","58,320,100.98","603,353.00","96.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PHM","PULTEGROUP INC","Consumer Discretionary","Equity","57,014,909.82","0.09","57,014,909.82","430,854.00","132.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OKE","ONEOK INC","Energy","Equity","56,370,460.92","0.09","56,370,460.92","753,213.00","74.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LYV","LIVE NATION ENTERTAINMENT INC","Communication","Equity","56,218,687.08","0.09","56,218,687.08","339,239.00","165.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXPE","EXPEDIA GROUP INC","Consumer Discretionary","Equity","56,148,971.09","0.09","56,148,971.09","261,389.00","214.81","United States","NASDAQ","USD","1.00","USD","-"
"CARR","CARRIER GLOBAL CORP","Industrials","Equity","55,736,570.00","0.09","55,736,570.00","822,680.00","67.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WSM","WILLIAMS SONOMA INC","Consumer Discretionary","Equity","53,736,037.46","0.09","53,736,037.46","264,163.00","203.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TYL","TYLER TECHNOLOGIES INC","Information Technology","Equity","52,074,914.28","0.08","52,074,914.28","92,802.00","561.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VMC","VULCAN MATERIALS","Materials","Equity","51,514,447.20","0.08","51,514,447.20","176,178.00","292.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TTD","TRADE DESK INC CLASS A","Communication","Equity","51,256,231.60","0.08","51,256,231.60","963,463.00","53.20","United States","NASDAQ","USD","1.00","USD","-"
"NXPI","NXP SEMICONDUCTORS NV","Information Technology","Equity","51,010,477.09","0.08","51,010,477.09","217,223.00","234.83","United States","NASDAQ","USD","1.00","USD","-"
"HUBB","HUBBELL INC","Industrials","Equity","50,583,569.85","0.08","50,583,569.85","114,741.00","440.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CPAY","CORPAY INC","Financials","Equity","50,284,908.89","0.08","50,284,908.89","151,831.00","331.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PODD","INSULET CORP","Health Care","Equity","49,943,623.84","0.08","49,943,623.84","150,992.00","330.77","United States","NASDAQ","USD","1.00","USD","-"
"WDAY","WORKDAY INC CLASS A","Information Technology","Equity","48,517,872.90","0.08","48,517,872.90","219,270.00","221.27","United States","NASDAQ","USD","1.00","USD","-"
"SMCI","SUPER MICRO COMPUTER INC","Information Technology","Equity","48,296,960.80","0.08","48,296,960.80","1,100,660.00","43.88","United States","NASDAQ","USD","1.00","USD","-"
"PAYX","PAYCHEX INC","Industrials","Equity","45,636,380.19","0.07","45,636,380.19","324,099.00","140.81","United States","NASDAQ","USD","1.00","USD","-"
